timestamp,cpi,fed,spy,gld,btc
2024-05-01,314.069,5.33,525.6718,215.3,67472.41
2024-04-01,313.548,5.33,500.3636,211.87,60622.1
2024-03-01,312.332,5.33,521.3857,205.72,71291.28
2024-02-01,310.326,5.33,504.8645,189.31,61179.03
2024-01-01,308.417,5.33,479.824,188.45,42548.08
2023-12-01,306.746,5.33,472.3019,191.17,42288.06
2023-11-01,307.051,5.33,451.6772,188.75,37732.27
2023-10-01,307.671,5.33,413.8725,184.09,34656.4
