timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2024-06-27,214.69,215.7395,212.35,214.1,214.1,49772707,0.0000,1.0
2024-06-26,211.5,214.86,210.64,213.25,213.25,66213186,0.0000,1.0
2024-06-25,209.15,211.38,208.61,209.07,209.07,56713868,0.0000,1.0
2024-06-24,207.72,212.7,206.59,208.14,208.14,80727006,0.0000,1.0
2024-06-21,210.39,211.89,207.11,207.49,207.49,246421353,0.0000,1.0
2024-06-20,213.93,214.24,208.85,209.68,209.68,86172451,0.0000,1.0
2024-06-18,217.59,218.63,213.0,214.29,214.29,79943254,0.0000,1.0
2024-06-17,213.37,218.95,212.72,216.67,216.67,93728300,0.0000,1.0
2024-06-14,213.85,215.17,211.3,212.49,212.49,70122748,0.0000,1.0
2024-06-13,214.74,216.75,211.6,214.24,214.24,97862729,0.0000,1.0
2024-06-12,207.37,220.2,206.9,213.07,213.07,198134293,0.0000,1.0
2024-06-11,193.65,207.16,193.63,207.15,207.15,172373296,0.0000,1.0
2024-06-10,196.9,197.3,192.15,193.12,193.12,97262077,0.0000,1.0
2024-06-07,194.65,196.94,194.14,196.89,196.89,53103912,0.0000,1.0
2024-06-06,195.685,196.5,194.17,194.48,194.48,41181753,0.0000,1.0
2024-06-05,195.4,196.9,194.87,195.87,195.87,54156785,0.0000,1.0
2024-06-04,194.635,195.32,193.0342,194.35,194.35,47471445,0.0000,1.0
2024-06-03,192.9,194.99,192.52,194.03,194.03,50080539,0.0000,1.0
2024-05-31,191.44,192.57,189.91,192.25,192.25,75158277,0.0000,1.0
2024-05-30,190.76,192.18,190.63,191.29,191.29,49947941,0.0000,1.0
2024-05-29,189.61,192.247,189.51,190.29,190.29,53068016,0.0000,1.0
2024-05-28,191.51,193.0,189.1,189.99,189.99,52280051,0.0000,1.0
2024-05-24,188.82,190.58,188.0404,189.98,189.98,36326975,0.0000,1.0
2024-05-23,190.98,191.0,186.625,186.88,186.88,51005924,0.0000,1.0
2024-05-22,192.265,192.8231,190.27,190.9,190.9,34648547,0.0000,1.0
2024-05-21,191.09,192.73,190.9201,192.35,192.35,42309401,0.0000,1.0
2024-05-20,189.325,191.9199,189.01,191.04,191.04,44361275,0.0000,1.0
2024-05-17,189.51,190.81,189.18,189.87,189.87,41282925,0.0000,1.0
2024-05-16,190.47,191.095,189.6601,189.84,189.84,52845230,0.0000,1.0
2024-05-15,187.91,190.65,187.37,189.72,189.72,70399988,0.0000,1.0
2024-05-14,187.51,188.3,186.29,187.43,187.43,52393619,0.0000,1.0
2024-05-13,185.435,187.1,184.62,186.28,186.28,72044809,0.0000,1.0
2024-05-10,184.9,185.09,182.13,183.05,183.05,50759496,0.2500,1.0
2024-05-09,182.56,184.66,182.11,184.57,184.318267866885,48982972,0.0000,1.0
2024-05-08,182.85,183.07,181.45,182.74,182.490763775232,45057087,0.0000,1.0
2024-05-07,183.45,184.9,181.32,182.4,182.151227495908,77305771,0.0000,1.0
2024-05-06,182.354,184.2,180.42,181.71,181.462168576105,78569667,0.0000,1.0
2024-05-03,186.645,187.0,182.66,183.38,183.129890889253,163224109,0.0000,1.0
2024-05-02,172.51,173.415,170.89,173.03,172.794007092199,94214915,0.0000,1.0
2024-05-01,169.58,172.705,169.11,169.3,169.069094380797,50383147,0.0000,1.0
2024-04-30,173.33,174.99,170.0,170.33,170.097689579924,65934776,0.0000,1.0
2024-04-29,173.37,176.03,173.1,173.5,173.263366066558,68169419,0.0000,1.0
2024-04-26,169.88,171.34,169.18,169.3,169.069094380797,44838354,0.0000,1.0
2024-04-25,169.525,170.61,168.1511,169.89,169.658289689034,50558329,0.0000,1.0
